routine,library,starpu_sched,n,gflops
chetrf,vendor,,15848,462.54705
chetrf,plasma_17,,398,0.99835
chetrf,plasma_17,,630,3.7776500000000004
chetrf,plasma_17,,1000,9.14585
chetrf,plasma_17,,1584,13.22555
chetrf,plasma_17,,2511,26.63545
chetrf,plasma_17,,3981,50.7168
chetrf,plasma_17,,6309,89.77655
chetrf,plasma_17,,10000,151.5943
chetrf,plasma_17,,15848,261.16675
chetrf,plasma_2_8_0,,398,1.23175
chetrf,plasma_2_8_0,,630,1.5562
chetrf,plasma_2_8_0,,1000,2.73435
chetrf,plasma_2_8_0,,1584,4.6989
chetrf,plasma_2_8_0,,2511,10.0398
chetrf,plasma_2_8_0,,3981,20.20785
chetrf,plasma_2_8_0,,6309,34.2502
chetrf,plasma_2_8_0,,10000,59.00865
chetrf,plasma_2_8_0,,15848,83.18985
chetrf,lapack,,398,1.10825
chetrf,lapack,,630,3.1747
chetrf,lapack,,1000,10.10925
chetrf,lapack,,1584,26.402549999999998
chetrf,lapack,,2511,50.0406
chetrf,lapack,,3981,140.5928
chetrf,lapack,,6309,266.35275
chetrf,lapack,,10000,359.86235
chetrf,lapack,,15848,441.596
cpotrf,vendor,,398,0.38835
cpotrf,vendor,,630,1.70635
cpotrf,vendor,,1000,3.15375
cpotrf,vendor,,1584,22.3832
cpotrf,vendor,,2511,49.13625
cpotrf,vendor,,3981,102.85395
cpotrf,vendor,,6309,334.11609999999996
cpotrf,vendor,,10000,678.3254999999999
cpotrf,vendor,,15848,1354.6158500000001
cpotrf,plasma_17,,398,0.9987999999999999
cpotrf,plasma_17,,630,4.4460999999999995
cpotrf,plasma_17,,1000,15.341899999999999
cpotrf,plasma_17,,1584,30.203699999999998
cpotrf,plasma_17,,2511,75.11070000000001
cpotrf,plasma_17,,3981,191.86275
cpotrf,plasma_17,,6309,335.61085
cpotrf,plasma_17,,10000,610.92255
cpotrf,plasma_17,,15848,1067.1979500000002
cpotrf,plasma_2_8_0,,398,4.550000000000001
cpotrf,plasma_2_8_0,,630,13.80585
cpotrf,plasma_2_8_0,,1000,40.8368
cpotrf,plasma_2_8_0,,1584,103.07249999999999
cpotrf,plasma_2_8_0,,2511,250.76735
cpotrf,plasma_2_8_0,,3981,540.13935
cpotrf,plasma_2_8_0,,6309,830.15015
cpotrf,plasma_2_8_0,,10000,1076.2154
cpotrf,plasma_2_8_0,,15848,1237.9621
cpotrf,plasma_kstar,eager,398,1.93575
cpotrf,plasma_kstar,eager,630,6.6312
cpotrf,plasma_kstar,eager,1000,22.483649999999997
