
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0335   159.3804    2000    2000   160    16     0     8       -1

      --         --     0.0346   154.0435    2000    2000   168    16     0     8       -1
      --         --     0.0319   167.0064    2000    2000   168    16     0     8       -1
      --         --     0.0364   146.3526    2000    2000   168    16     0     8       -1

      --         --     0.0371   143.8557    2000    2000   176    16     0     8       -1
      --         --     0.0339   157.0568    2000    2000   176    16     0     8       -1
      --         --     0.0322   165.5506    2000    2000   176    16     0     8       -1

      --         --     0.0367   145.1733    2000    2000   184    16     0     8       -1
      --         --     0.0361   147.8658    2000    2000   184    16     0     8       -1
      --         --     0.0395   134.9384    2000    2000   184    16     0     8       -1

      --         --     0.0390   136.7673    2000    2000   192    16     0     8       -1
      --         --     0.0393   135.5890    2000    2000   192    16     0     8       -1
      --         --     0.0347   153.7234    2000    2000   192    16     0     8       -1

      --         --     0.0360   148.1103    2000    2000   200    16     0     8       -1
      --         --     0.0331   161.1111    2000    2000   200    16     0     8       -1
      --         --     0.0337   157.9971    2000    2000   200    16     0     8       -1

      --         --     0.0372   143.5050    2000    2000   208    16     0     8       -1
      --         --     0.0336   158.7327    2000    2000   208    16     0     8       -1
      --         --     0.0328   162.4474    2000    2000   208    16     0     8       -1

      --         --     0.0369   144.4829    2000    2000   216    16     0     8       -1
      --         --     0.0340   156.7068    2000    2000   216    16     0     8       -1
      --         --     0.0372   143.3787    2000    2000   216    16     0     8       -1

      --         --     0.0349   152.6940    2000    2000   224    16     0     8       -1
      --         --     0.0358   148.9056    2000    2000   224    16     0     8       -1
      --         --     0.0356   149.9611    2000    2000   224    16     0     8       -1

      --         --     0.0357   149.4989    2000    2000   232    16     0     8       -1
      --         --     0.0380   140.4216    2000    2000   232    16     0     8       -1
      --         --     0.0366   145.8082    2000    2000   232    16     0     8       -1

      --         --     0.0374   142.5021    2000    2000   240    16     0     8       -1
      --         --     0.0350   152.3141    2000    2000   240    16     0     8       -1
      --         --     0.0367   145.3847    2000    2000   240    16     0     8       -1

      --         --     0.0389   137.0815    2000    2000   248    16     0     8       -1
      --         --     0.0386   138.0602    2000    2000   248    16     0     8       -1
      --         --     0.0379   140.7770    2000    2000   248    16     0     8       -1

      --         --     0.0365   146.1963    2000    2000   256    16     0     8       -1
      --         --     0.0374   142.3867    2000    2000   256    16     0     8       -1
      --         --     0.0370   144.2352    2000    2000   256    16     0     8       -1

      --         --     0.0386   138.2398    2000    2000   264    16     0     8       -1
      --         --     0.0359   148.4821    2000    2000   264    16     0     8       -1
      --         --     0.0393   135.6818    2000    2000   264    16     0     8       -1

      --         --     0.0369   144.5728    2000    2000   272    16     0     8       -1
      --         --     0.0397   134.2846    2000    2000   272    16     0     8       -1
      --         --     0.0373   143.0513    2000    2000   272    16     0     8       -1

      --         --     0.0452   117.9899    2000    2000   280    16     0     8       -1
      --         --     0.0431   123.7938    2000    2000   280    16     0     8       -1
      --         --     0.0406   131.3827    2000    2000   280    16     0     8       -1

      --         --     0.0386   138.1996    2000    2000   288    16     0     8       -1
      --         --     0.0404   131.9622    2000    2000   288    16     0     8       -1
      --         --     0.0464   114.7849    2000    2000   288    16     0     8       -1

      --         --     0.0455   117.0699    2000    2000   296    16     0     8       -1
      --         --     0.0388   137.3066    2000    2000   296    16     0     8       -1
      --         --     0.0416   128.1587    2000    2000   296    16     0     8       -1

      --         --     0.0395   134.8295    2000    2000   304    16     0     8       -1
      --         --     0.0397   134.3728    2000    2000   304    16     0     8       -1
      --         --     0.0406   131.1851    2000    2000   304    16     0     8       -1

      --         --     0.0432   123.2901    2000    2000   312    16     0     8       -1
      --         --     0.0392   136.0430    2000    2000   312    16     0     8       -1
      --         --     0.0410   130.0789    2000    2000   312    16     0     8       -1

      --         --     0.0486   109.7253    2000    2000   320    16     0     8       -1
      --         --     0.0442   120.5372    2000    2000   320    16     0     8       -1
      --         --     0.0410   130.0060    2000    2000   320    16     0     8       -1

      --         --     0.0452   118.0726    2000    2000   328    16     0     8       -1
      --         --     0.0467   114.0979    2000    2000   328    16     0     8       -1
      --         --     0.0454   117.5325    2000    2000   328    16     0     8       -1

      --         --     0.0407   131.0402    2000    2000   336    16     0     8       -1
      --         --     0.0423   125.9224    2000    2000   336    16     0     8       -1
