
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0052   511.2218       l    2000   120     0       -1
      --         --     0.0057   467.7867       l    2000   120     0       -1

      --         --     0.0067   397.2460       l    2000   128     0       -1
      --         --     0.0070   381.6818       l    2000   128     0       -1
      --         --     0.0070   379.8812       l    2000   128     0       -1

      --         --     0.0052   516.2915       l    2000   136     0       -1
      --         --     0.0049   541.2049       l    2000   136     0       -1
      --         --     0.0048   557.4858       l    2000   136     0       -1

      --         --     0.0047   572.6594       l    2000   144     0       -1
      --         --     0.0049   546.9703       l    2000   144     0       -1
      --         --     0.0050   528.6794       l    2000   144     0       -1

      --         --     0.0049   546.0631       l    2000   152     0       -1
      --         --     0.0048   559.2406       l    2000   152     0       -1
      --         --     0.0049   544.5223       l    2000   152     0       -1

      --         --     0.0050   535.9702       l    2000   160     0       -1
      --         --     0.0052   512.9084       l    2000   160     0       -1
      --         --     0.0050   536.5096       l    2000   160     0       -1

      --         --     0.0048   554.8055       l    2000   168     0       -1
      --         --     0.0047   563.0099       l    2000   168     0       -1
      --         --     0.0047   570.3542       l    2000   168     0       -1

      --         --     0.0046   576.9096       l    2000   176     0       -1
      --         --     0.0049   542.7270       l    2000   176     0       -1
      --         --     0.0050   534.6900       l    2000   176     0       -1

      --         --     0.0050   532.8827       l    2000   184     0       -1
      --         --     0.0049   541.4406       l    2000   184     0       -1
      --         --     0.0049   539.8997       l    2000   184     0       -1

      --         --     0.0053   507.5361       l    2000   192     0       -1
      --         --     0.0049   544.5223       l    2000   192     0       -1
      --         --     0.0051   527.0861       l    2000   192     0       -1

      --         --     0.0053   506.6631       l    2000   200     0       -1
      --         --     0.0054   497.6083       l    2000   200     0       -1
      --         --     0.0056   479.7155       l    2000   200     0       -1

      --         --     0.0056   479.1815       l    2000   208     0       -1
      --         --     0.0055   486.8938       l    2000   208     0       -1
      --         --     0.0056   473.6860       l    2000   208     0       -1

      --         --     0.0056   474.3485       l    2000   216     0       -1
      --         --     0.0055   481.8840       l    2000   216     0       -1
      --         --     0.0054   492.2685       l    2000   216     0       -1

      --         --     0.0059   454.6385       l    2000   224     0       -1
      --         --     0.0058   457.2946       l    2000   224     0       -1
      --         --     0.0061   438.4332       l    2000   224     0       -1

      --         --     0.0062   431.4037       l    2000   232     0       -1
      --         --     0.0061   440.0189       l    2000   232     0       -1
      --         --     0.0063   424.3385       l    2000   232     0       -1

      --         --     0.0060   444.2628       l    2000   240     0       -1
      --         --     0.0060   442.2791       l    2000   240     0       -1
      --         --     0.0064   415.3629       l    2000   240     0       -1

      --         --     0.0068   392.8542       l    2000   248     0       -1
      --         --     0.0064   416.5222       l    2000   248     0       -1
      --         --     0.0068   392.7439       l    2000   248     0       -1

      --         --     0.0069   387.6567       l    2000   256     0       -1
      --         --     0.0067   396.7110       l    2000   256     0       -1
      --         --     0.0066   403.1842       l    2000   256     0       -1

      --         --     0.0071   376.8754       l    2000   264     0       -1
      --         --     0.0067   395.4775       l    2000   264     0       -1
      --         --     0.0070   380.2038       l    2000   264     0       -1

      --         --     0.0071   374.4547       l    2000   272     0       -1
      --         --     0.0071   376.1915       l    2000   272     0       -1
      --         --     0.0070   380.7470       l    2000   272     0       -1

      --         --     0.0075   354.4957       l    2000   280     0       -1
      --         --     0.0075   357.0627       l    2000   280     0       -1
      --         --     0.0076   351.8436       l    2000   280     0       -1

      --         --     0.0077   347.3021       l    2000   288     0       -1
      --         --     0.0081   331.3853       l    2000   288     0       -1
      --         --     0.0078   340.7782       l    2000   288     0       -1

      --         --     0.0078   341.0897       l    2000   296     0       -1
      --         --     0.0079   339.7851       l    2000   296     0       -1
      --         --     0.0078   341.3498       l    2000   296     0       -1

      --         --     0.0081   328.7766       l    2000   304     0       -1
      --         --     0.0080   332.0833       l    2000   304     0       -1
      --         --     0.0080   332.9526       l    2000   304     0       -1

      --         --     0.0084   316.4603       l    2000   312     0       -1
      --         --     0.0084   318.6495       l    2000   312     0       -1
      --         --     0.0083   319.7509       l    2000   312     0       -1

      --         --     0.0089   300.5612       l    2000   320     0       -1
      --         --     0.0088   304.2292       l    2000   320     0       -1
      --         --     0.0087   305.2330       l    2000   320     0       -1

      --         --     0.0093   286.6156       l    2000   328     0       -1
      --         --     0.0091   292.5562       l    2000   328     0       -1
      --         --     0.0092   291.3379       l    2000   328     0       -1

      --         --     0.0094   283.8968       l    2000   336     0       -1
      --         --     0.0093   286.3956       l    2000   336     0       -1
      --         --     0.0097   275.1186       l    2000   336     0       -1

      --         --     0.0098   272.6989       l    2000   344     0       -1
      --         --     0.0099   269.6962       l    2000   344     0       -1
      --         --     0.0097   274.7809       l    2000   344     0       -1

      --         --     0.0098   271.2583       l    2000   352     0       -1
      --         --     0.0101   264.6710       l    2000   352     0       -1
      --         --     0.0101   264.7524       l    2000   352     0       -1

      --         --     0.0101   262.9796       l    2000   360     0       -1
      --         --     0.0100   265.7518       l    2000   360     0       -1
      --         --     0.0105   255.3543       l    2000   360     0       -1

      --         --     0.0107   250.3904       l    2000   368     0       -1
      --         --     0.0106   252.9308       l    2000   368     0       -1
      --         --     0.0106   252.6397       l    2000   368     0       -1

      --         --     0.0111   241.0094       l    2000   376     0       -1
      --         --     0.0112   239.1914       l    2000   376     0       -1
      --         --     0.0111   240.9005       l    2000   376     0       -1

      --         --     0.0115   231.5372       l    2000   384     0       -1
      --         --     0.0114   234.4224       l    2000   384     0       -1
      --         --     0.0117   228.1114       l    2000   384     0       -1

      --         --     0.0122   218.4551       l    2000   392     0       -1
      --         --     0.0124   215.7684       l    2000   392     0       -1
      --         --     0.0121   221.2095       l    2000   392     0       -1

      --         --     0.0125   213.2038       l    2000   400     0       -1
      --         --     0.0127   210.5449       l    2000   400     0       -1
      --         --     0.0128   208.2611       l    2000   400     0       -1

      --         --     0.0127   209.8974       l    2000   408     0       -1
      --         --     0.0125   212.8471       l    2000   408     0       -1
      --         --     0.0127   210.3313       l    2000   408     0       -1

      --         --     0.0129   207.1472       l    2000   416     0       -1
      --         --     0.0127   209.8148       l    2000   416     0       -1
      --         --     0.0130   205.2819       l    2000   416     0       -1

      --         --     0.0133   201.1501       l    2000   424     0       -1
      --         --     0.0130   205.5495       l    2000   424     0       -1
      --         --     0.0133   200.8325       l    2000   424     0       -1

      --         --     0.0135   197.5189       l    2000   432     0       -1
      --         --     0.0136   196.0933       l    2000   432     0       -1
      --         --     0.0133   200.1252       l    2000   432     0       -1

      --         --     0.0139   192.0063       l    2000   440     0       -1
      --         --     0.0139   191.8812       l    2000   440     0       -1
      --         --     0.0140   190.1956       l    2000   440     0       -1

      --         --     0.0143   186.6436       l    2000   448     0       -1
      --         --     0.0144   185.5944       l    2000   448     0       -1
      --         --     0.0143   187.0647       l    2000   448     0       -1

      --         --     0.0146   182.7969       l    2000   456     0       -1
      --         --     0.0147   181.5398       l    2000   456     0       -1
      --         --     0.0145   184.3504       l    2000   456     0       -1

      --         --     0.0150   177.8618       l    2000   464     0       -1
      --         --     0.0151   176.8278       l    2000   464     0       -1
      --         --     0.0151   177.2394       l    2000   464     0       -1

      --         --     0.0155   172.6946       l    2000   472     0       -1
      --         --     0.0157   169.5785       l    2000   472     0       -1
      --         --     0.0158   169.3425       l    2000   472     0       -1

