
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0181   147.5624       l    2000   328     0       -1

      --         --     0.0184   144.9408       l    2000   336     0       -1
      --         --     0.0186   143.5063       l    2000   336     0       -1
      --         --     0.0185   143.9640       l    2000   336     0       -1

      --         --     0.0190   140.1392       l    2000   344     0       -1
      --         --     0.0191   140.0516       l    2000   344     0       -1
      --         --     0.0193   138.4235       l    2000   344     0       -1

      --         --     0.0198   134.6518       l    2000   352     0       -1
      --         --     0.0196   136.0512       l    2000   352     0       -1
      --         --     0.0196   136.3163       l    2000   352     0       -1

      --         --     0.0199   134.3883       l    2000   360     0       -1
      --         --     0.0201   133.1003       l    2000   360     0       -1
      --         --     0.0223   119.6763       l    2000   360     0       -1

      --         --     0.0210   126.9473       l    2000   368     0       -1
      --         --     0.0205   130.0265       l    2000   368     0       -1
      --         --     0.0209   127.9691       l    2000   368     0       -1

      --         --     0.0218   122.4612       l    2000   376     0       -1
      --         --     0.0219   121.6904       l    2000   376     0       -1
      --         --     0.0213   125.3663       l    2000   376     0       -1

      --         --     0.0230   115.9989       l    2000   384     0       -1
      --         --     0.0228   116.9137       l    2000   384     0       -1
      --         --     0.0228   116.9846       l    2000   384     0       -1

      --         --     0.0239   111.6740       l    2000   392     0       -1
      --         --     0.0239   111.5705       l    2000   392     0       -1
      --         --     0.0236   113.1895       l    2000   392     0       -1

      --         --     0.0252   105.8399       l    2000   400     0       -1
      --         --     0.0249   107.1448       l    2000   400     0       -1
      --         --     0.0249   107.1407       l    2000   400     0       -1

      --         --     0.0248   107.5731       l    2000   408     0       -1
      --         --     0.0249   107.2793       l    2000   408     0       -1
      --         --     0.0251   106.1994       l    2000   408     0       -1

      --         --     0.0252   105.9330       l    2000   416     0       -1
      --         --     0.0250   106.8869       l    2000   416     0       -1
      --         --     0.0256   104.4405       l    2000   416     0       -1

      --         --     0.0259   103.2278       l    2000   424     0       -1
      --         --     0.0258   103.5047       l    2000   424     0       -1
      --         --     0.0259   103.1688       l    2000   424     0       -1

      --         --     0.0266   100.5073       l    2000   432     0       -1
      --         --     0.0267    99.9616       l    2000   432     0       -1
      --         --     0.0262   101.8962       l    2000   432     0       -1

      --         --     0.0273    97.6642       l    2000   440     0       -1
      --         --     0.0270    99.0041       l    2000   440     0       -1
      --         --     0.0274    97.3686       l    2000   440     0       -1

      --         --     0.0282    94.6371       l    2000   448     0       -1
      --         --     0.0286    93.2223       l    2000   448     0       -1
      --         --     0.0284    94.0036       l    2000   448     0       -1

      --         --     0.0283    94.3332       l    2000   456     0       -1
      --         --     0.0285    93.5785       l    2000   456     0       -1
      --         --     0.0286    93.2161       l    2000   456     0       -1

      --         --     0.0299    89.3455       l    2000   464     0       -1
      --         --     0.0299    89.1903       l    2000   464     0       -1
      --         --     0.0294    90.7000       l    2000   464     0       -1

      --         --     0.0314    85.1058       l    2000   472     0       -1
      --         --     0.0305    87.5748       l    2000   472     0       -1
      --         --     0.0309    86.4453       l    2000   472     0       -1

      --         --     0.0314    84.9947       l    2000   480     0       -1
      --         --     0.0317    84.0734       l    2000   480     0       -1
      --         --     0.0314    85.1058       l    2000   480     0       -1

      --         --     0.0340    78.5157       l    2000   488     0       -1
      --         --     0.0337    79.1072       l    2000   488     0       -1
      --         --     0.0324    82.4679       l    2000   488     0       -1

      --         --     0.0360    74.0369       l    2000   496     0       -1
      --         --     0.0342    78.0172       l    2000   496     0       -1
      --         --     0.0340    78.3843       l    2000   496     0       -1

      --         --     0.0345    77.3727       l    2000   504     0       -1
      --         --     0.0345    77.3102       l    2000   504     0       -1
      --         --     0.0343    77.8852       l    2000   504     0       -1

      --         --     0.0402    66.3883       l    2000   512     0       -1
      --         --     0.0390    68.4499       l    2000   512     0       -1
      --         --     0.0359    74.2654       l    2000   512     0       -1

      --         --     0.0375    71.1796       l    2000   520     0       -1
      --         --     0.0364    73.4139       l    2000   520     0       -1
