
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0325    20.4954    1000    1000   472    16     0     8       -1

      --         --     0.0329    20.2211    1000    1000   480    16     0     8       -1
      --         --     0.0286    23.2966    1000    1000   480    16     0     8       -1
      --         --     0.0294    22.6694    1000    1000   480    16     0     8       -1

      --         --     0.0313    21.2801    1000    1000   488    16     0     8       -1
      --         --     0.0314    21.1922    1000    1000   488    16     0     8       -1
      --         --     0.0317    20.9862    1000    1000   488    16     0     8       -1

      --         --     0.0332    20.0790    1000    1000   496    16     0     8       -1
      --         --     0.0298    22.3818    1000    1000   496    16     0     8       -1
      --         --     0.0301    22.1478    1000    1000   496    16     0     8       -1

      --         --     0.0276    24.1030    1000    1000   504    16     0     8       -1
      --         --     0.0276    24.1495    1000    1000   504    16     0     8       -1
      --         --     0.0277    24.0301    1000    1000   504    16     0     8       -1

      --         --     0.0432   123.3138    2000    2000   128    16     0     8       -1
      --         --     0.0411   129.8606    2000    2000   128    16     0     8       -1
      --         --     0.0412   129.4769    2000    2000   128    16     0     8       -1

      --         --     0.0404   131.8291    2000    2000   136    16     0     8       -1
      --         --     0.0410   130.1521    2000    2000   136    16     0     8       -1
      --         --     0.0412   129.4597    2000    2000   136    16     0     8       -1

      --         --     0.0427   124.7903    2000    2000   144    16     0     8       -1
      --         --     0.0414   128.6231    2000    2000   144    16     0     8       -1
      --         --     0.0419   127.2803    2000    2000   144    16     0     8       -1

      --         --     0.0433   123.2515    2000    2000   152    16     0     8       -1
      --         --     0.0428   124.4453    2000    2000   152    16     0     8       -1
      --         --     0.0418   127.4943    2000    2000   152    16     0     8       -1

      --         --     0.0432   123.3247    2000    2000   160    16     0     8       -1
      --         --     0.0427   124.7196    2000    2000   160    16     0     8       -1
      --         --     0.0414   128.8669    2000    2000   160    16     0     8       -1

      --         --     0.0431   123.6048    2000    2000   168    16     0     8       -1
      --         --     0.0426   125.0483    2000    2000   168    16     0     8       -1
      --         --     0.0421   126.6103    2000    2000   168    16     0     8       -1

      --         --     0.0436   122.3537    2000    2000   176    16     0     8       -1
      --         --     0.0433   122.9993    2000    2000   176    16     0     8       -1
      --         --     0.0437   122.1109    2000    2000   176    16     0     8       -1

      --         --     0.0435   122.6752    2000    2000   184    16     0     8       -1
      --         --     0.0431   123.7397    2000    2000   184    16     0     8       -1
      --         --     0.0430   123.9132    2000    2000   184    16     0     8       -1

      --         --     0.0449   118.8413    2000    2000   192    16     0     8       -1
      --         --     0.0455   117.0712    2000    2000   192    16     0     8       -1
      --         --     0.0453   117.6649    2000    2000   192    16     0     8       -1

      --         --     0.0452   118.0763    2000    2000   200    16     0     8       -1
      --         --     0.0445   119.7403    2000    2000   200    16     0     8       -1
      --         --     0.0462   115.3717    2000    2000   200    16     0     8       -1

      --         --     0.0479   111.3919    2000    2000   208    16     0     8       -1
      --         --     0.0464   114.8208    2000    2000   208    16     0     8       -1
      --         --     0.0494   108.0248    2000    2000   208    16     0     8       -1

      --         --     0.0484   110.0991    2000    2000   216    16     0     8       -1
      --         --     0.0490   108.7731    2000    2000   216    16     0     8       -1
      --         --     0.0458   116.3031    2000    2000   216    16     0     8       -1

      --         --     0.0488   109.1621    2000    2000   224    16     0     8       -1
      --         --     0.0484   110.0688    2000    2000   224    16     0     8       -1
      --         --     0.0509   104.7155    2000    2000   224    16     0     8       -1

      --         --     0.0485   109.8757    2000    2000   232    16     0     8       -1
      --         --     0.0520   102.4658    2000    2000   232    16     0     8       -1
      --         --     0.0493   108.1544    2000    2000   232    16     0     8       -1

      --         --     0.0504   105.6799    2000    2000   240    16     0     8       -1
      --         --     0.0501   106.4870    2000    2000   240    16     0     8       -1
      --         --     0.0483   110.4075    2000    2000   240    16     0     8       -1

      --         --     0.0513   103.9822    2000    2000   248    16     0     8       -1
      --         --     0.0511   104.3045    2000    2000   248    16     0     8       -1
      --         --     0.0521   102.2932    2000    2000   248    16     0     8       -1

      --         --     0.0540    98.7611    2000    2000   256    16     0     8       -1
      --         --     0.0570    93.5995    2000    2000   256    16     0     8       -1
      --         --     0.0550    96.8459    2000    2000   256    16     0     8       -1

      --         --     0.0519   102.6856    2000    2000   264    16     0     8       -1
      --         --     0.0492   108.4450    2000    2000   264    16     0     8       -1
      --         --     0.0510   104.5779    2000    2000   264    16     0     8       -1

      --         --     0.0524   101.7007    2000    2000   272    16     0     8       -1
      --         --     0.0525   101.4919    2000    2000   272    16     0     8       -1
      --         --     0.0535    99.7317    2000    2000   272    16     0     8       -1

      --         --     0.0551    96.7601    2000    2000   280    16     0     8       -1
      --         --     0.0532   100.1391    2000    2000   280    16     0     8       -1
      --         --     0.0544    98.0089    2000    2000   280    16     0     8       -1

      --         --     0.0531   100.4530    2000    2000   288    16     0     8       -1
      --         --     0.0541    98.6039    2000    2000   288    16     0     8       -1
      --         --     0.0541    98.6105    2000    2000   288    16     0     8       -1

      --         --     0.0539    98.8228    2000    2000   296    16     0     8       -1
